#       node 1        node2        node3
           557          349          558
           416          156          157
           232           77           78
           286           28           29
           571          362          363
           389          130          390
           228          227           73
           220           65           66
           615          614          406
           349          192          193
           264            6            7
           259          105          260
           307           49           50
           494          285          286
           285          284           27
           357          201          358
           359          202          203
           213           58           59
           214           59           60
           225           70           71
           852          643          644
           234           79           80
           430          221          222
           493          285          494
           460          251          252
           297           40          298
           308           50           51
           223           68           69
           316          315          159
           227           72           73
           459          250          251
           216           61           62
           233           78           79
           477          269          478
           663          662          454
           213           59          214
           387          127          128
           240           86          241
           268           11          269
           249           94           95
           241           86           87
           239           85          240
           212           58          213
           210            4           56
           243           88           89
           457          248          249
           224           70          225
           237           82           83
           240           85           86
           250           95           96
           252           97           98
           252           98          253
           255          100          101
           552          343          344
           218           63           64
           348          192          349
           346          345          189
           258          103          104
           345          188          189
           247           92           93
           260          105          106
           246           92          247
           304           46           47
           295           38          296
           401          400          141
           262            1            5
           265            7            8
           294           36           37
           594          385          386
           282           24           25
           257          256          102
           226           71           72
           215           60           61
           269           11           12
           279           21           22
           402          142          143
           303           46          304
           491          282          283
           441          440          232
           268           10           11
           284           26           27
           381          122          382
           485          276          277
           283          282           25
           270           12           13
           271           14          272
           280          279           22
           281           23           24
           295           37           38
           767          559          768
           292           34           35
           489          281          490
           245           90           91
           808          599          600
           298           40           41
           296           38           39
           275           17           18
           253           98           99
           293           36          294
           313           55            2
           302           44           45
           297          296           39
           310           52           53
           277           20          278
           337          181          338
           302           45          303
           314            2          158
           311           53           54
           528          319          320
           412          152          153
           399          140          400
           393          133          134
           337          180          181
           321          164          165
           316          159          160
           377          117          118
           340          183          184
           280           22           23
           325          169          326
           325          168          169
           363          206          207
           379          119          120
           322          321          165
           420          211          212
           337          336          180
           364          207          208
           333          176          177
           332          176          333
           320          164          321
           343          186          187
           322          165          166
           354          198          355
           263            5            6
           338          181          182
           549          340          341
           318          161          162
           495          286          287
           400          140          141
           342          185          186
           341          185          342
           414          154          155
           358          202          359
           351          194          195
           383          124          384
           401          141          142
           493          284          285
           336          179          180
           353          196          197
           371          112          372
           348          191          192
           612          403          404
           507          506          298
           314          158          315
           416          157          209
           594          593          385
           471          262          263
           327          170          171
           529          528          320
           367          107          108
           407          147          148
           332          175          176
           602          393          394
           371          370          111
           601          392          393
           375          115          116
           227          226           72
           409          149          150
           376          116          117
           401          142          402
           384          125          385
           376          117          377
           604          395          396
           408          148          149
           390          130          131
           382          122          123
           215           61          216
           311          310           53
           386          126          127
           389          129          130
           319          318          162
           384          124          125
           386          385          126
           385          125          126
           574          365          366
           368          108          109
           398          138          139
           397          138          398
           404          403          144
           319          162          163
           363          207          364
           432          223          224
           604          396          605
           499          291          500
           291           34          292
           519          311          520
           420          212          421
           405          145          146
           411          152          412
           403          143          144
           381          121          122
           217           63          218
           374          373          114
           215          214           60
           305           47           48
           536          327          328
           371          111          112
           614          405          406
           221           66           67
           289           31           32
           264          263            6
           278           20           21
           272           14           15
           361          204          205
           360          204          361
           229           75          230
           242           88          243
           315          158          159
           314          313            2
           297           39           40
           303           45           46
           305          304           47
           512          303          304
           236           81           82
           948          739          740
           395          135          136
           397          137          138
           220           66          221
           567          358          359
           343          342          186
           527          319          528
           230           75           76
           229           74           75
           259          258          104
           269           12          270
           271           13           14
           271          270           13
           399          139          140
           399          398          139
           891          890          682
           358          201          202
           477          268          269
           482          273          274
           328          172          329
           544          336          545
           324          167          168
           529          320          321
           217          216           62
           217           62           63
           473          265          474
           262            5          263
           233           79          234
           232           78          233
           380          121          381
          1437         1228         1229
           238           83           84
           235           81          236
           242           87           88
           242          241           87
           450          241          242
           465          464          256
           410          150          151
           411          151          152
           435          227          436
           225           71          226
           403          402          143
           410          409          150
           605          396          397
           397          396          137
           235           80           81
           235          234           80
           500          291          292
           469          260          261
           606          397          398
           250          249           95
           273          272           15
           485          277          486
           320          163          164
           319          163          320
           346          189          190
           347          191          348
           274           16           17
           274           17          275
           392          133          393
           824          616          825
           585          376          377
           372          112          113
           388          128          129
           388          129          389
           326          169          170
           326          170          327
           427          218          219
           219           65          220
           422          213          214
           222          221           67
           288           31          289
           489          280          281
           408          407          148
           408          149          409
           267            9           10
           267           10          268
           290           32           33
           290          289           32
           563          354          355
           386          127          387
           232          231           77
           237          236           82
           507          298          299
           352          351          195
           334          177          178
           334          333          177
           544          335          336
           335          334          178
           503          295          504
           306           49          307
           550          341          342
           344          188          345
           222           67           68
           222           68          223
           355          198          199
           552          551          343
           317          160          161
           317          161          318
           541          332          333
           546          337          338
           261            1          262
           472          263          264
           577          368          369
           590          381          382
           306           48           49
           306          305           48
           564          563          355
           350          194          351
           211          210           56
           515          306          307
           277           19           20
           276           19          277
           480          271          272
           266            9          267
           368          367          108
           433          224          225
           366          107          367
           584          583          375
           421          213          422
           538          329          330
           497          289          498
           521          312          313
           391          131          132
           391          390          131
           452          243          244
           248          247           93
           856          647          648
           244          243           89
           376          375          116
           556          347          348
           254           99          100
           254          100          255
           425          216          217
           581          372          373
           781          572          573
           378          377          118
           378          118          119
           378          119          379
           228           73           74
           228           74          229
           211           56           57
           212          211           57
           464          255          256
           238          237           83
           294           37          295
           293           35           36
           392          132          133
           392          391          132
           418          416          209
           547          338          339
           352          195          196
           352          196          353
           443          442          234
           460          459          251
           789          580          581
           762          553          554
           264            7          265
           851          850          642
           308          307           50
           308           51          309
           749          540          541
           363          362          206
           360          203          204
           360          359          203
           261          106            1
           261          260          106
           592          383          384
           589          380          381
           532          323          324
           300           42           43
           350          193          194
           350          349          193
           394          393          134
           579          370          371
           550          549          341
           339          338          182
           287           29           30
           287          286           29
           394          134          135
           394          135          395
           209          157            4
           209            4          210
           356          199          200
           356          355          199
           266            8            9
           266          265            8
           619          410          411
           563          562          354
           301           44          302
           944          735          736
           285           27           28
           285           28          286
           637          429          638
           424          215          216
           329          172          173
           547          339          548
           388          387          128
           600          391          392
           618          410          619
           406          147          407
           309           51           52
           309           52          310
           490          281          282
           278           21          279
           479          270          271
           259          104          105
           231           76           77
           231          230           76
           542          541          333
           324          168          325
           291           33           34
           291          290           33
           502          293          294
           416          415          156
           724          723          515
           476          268          477
           623          414          415
           561          560          352
           663          454          455
           595          387          596
           396          136          137
           396          395          136
           421          212          213
           737          528          529
           365          208            3
           365          364          208
           510          301          302
           497          288          289
           331          175          332
           620          411          412
           254          253           99
           463          254          255
           610          401          402
           419          210          211
           508          299          300
           524          315          316
           281           24          282
           490          282          491
           716          508          717
           559          350          351
           362          205          206
           362          361          205
           812          604          813
           508          507          299
           595          386          387
           599          391          600
           411          410          151
           414          413          154
           885          676          677
           299          298           41
           570          361          362
           808          600          809
           354          197          198
           354          353          197
           330          173          174
           330          329          173
           369          109          110
           369          368          109
           566          357          358
           555          347          556
           451          450          242
           312          311           54
           620          619          411
           515          307          516
           826          617          618
           613          612          404
           568          359          360
           567          359          568
           674          466          675
           281          280           23
           530          529          321
           323          167          324
           239           84           85
           239          238           84
           244           89           90
           244           90          245
           580          371          372
           583          374          375
           256          101          102
           256          255          101
           625          418          417
           656          447          448
           370          110          111
           370          369          110
           366            3          107
           366          365            3
           425          424          216
           474          265          266
           437          228          229
           449          241          450
           347          190          191
           347          346          190
           293          292           35
           499          290          291
           571          570          362
           562          353          354
           246           91           92
           246          245           91
           344          187          188
           344          343          187
           373          113          114
           373          372          113
           927          719          928
           316          160          317
           273           15           16
           273           16          274
           335          178          179
           335          179          336
           611          610          402
           640          432          641
           328          171          172
           328          327          171
           413          153          154
           413          412          153
           374          114          115
           374          115          375
           557          348          349
           558          349          350
           606          398          607
           804          595          596
           339          182          183
           339          183          340
           542          333          334
           537          328          329
           504          296          505
           930          722          931
           276           18           19
           276          275           18
           248           93           94
           248           94          249
           383          123          124
           383          382          123
           439          438          230
           441          232          233
           404          144          145
           404          145          405
           539          330          331
           526          318          527
           257          102          103
           257          103          258
           251          250           96
           455          454          246
           212           57           58
           621          413          622
           380          120          121
           380          379          120
           559          558          350
           533          532          324
           357          200          201
           357          356          200
           219           64           65
           219          218           64
           415          155          156
           415          414          155
           251           96           97
           251           97          252
           728          519          520
           624          415          416
           576          367          368
           537          536          328
           323          166          167
           323          322          166
           512          304          513
           433          432          224
           288           30           31
           288          287           30
           823          614          615
           615          406          407
           876          875          667
           440          231          232
           224           69           70
           224          223           69
           283           25           26
           283           26          284
           554          345          346
           785          576          577
           301           43           44
           301          300           43
           312           54           55
           312           55          313
           341          184          185
           341          340          184
           501          292          293
           533          324          325
           520          311          312
           523          314          315
           406          146          147
           406          405          146
           621          412          413
          1042         1045          836
           506          297          298
           514          305          306
           632          423          424
           444          236          445
           331          174          175
           331          330          174
           299           41           42
           299           42          300
           751          542          543
           710          501          502
           598          389          390
           588          379          380
           608          607          399
           428          220          429
           436          227          228
           828          619          620
           497          496          288
           446          237          238
           573          365          574
           565          357          566
           543          334          335
           713          712          504
           527          318          319
           537          329          538
          1036          827          828
           504          295          296
           734          526          735
           780          572          781
           572          363          364
           573          364          365
           960          752          961
           545          336          337
           486          277          278
           483          274          275
           631          422          423
           438          437          229
           587          378          379
           768          559          560
           722          513          514
           508          300          509
           455          246          247
           467          258          259
           581          580          372
           792          583          584
           622          413          414
           622          414          623
           560          351          352
           985          776          777
           538          330          539
           739          738          530
           505          296          297
           505          297          506
           630          629          421
           420          419          211
           498          289          290
           429          220          221
           496          287          288
           496          495          287
           668          459          460
           441          233          442
           832          623          624
           417          210          419
           577          576          368
           753          544          545
           553          344          345
           553          345          554
           461          252          253
           459          458          250
           616          407          408
           615          407          616
           498          290          499
           500          292          501
           458          249          250
           458          457          249
           471          263          472
           460          252          461
           481          272          273
           480          272          481
           814          606          815
           483          482          274
           920          919          711
           593          384          385
           502          501          293
           902          694          903
           607          398          399
           907          906          698
           481          273          482
           715          714          506
           436          228          437
           626          417          419
           597          388          389
           597          389          598
           588          380          589
           586          378          587
           438          229          230
           642          433          434
           492          283          284
           492          491          283
           658          449          450
           476          267          268
           565          356          357
           564          355          356
           518          309          310
           516          307          308
           672          463          464
           462          254          463
           606          605          397
           611          403          612
           521          520          312
           521          313          522
           552          344          553
           734          525          526
           524          523          315
           534          325          326
           493          492          284
           494          286          495
           572          364          573
           546          338          547
           819          818          610
          1195          987         1196
           590          589          381
           791          582          583
           676          467          468
           471          470          262
           703          494          495
           697          489          698
           503          294          295
           503          502          294
           586          377          378
           586          585          377
           609          400          401
           609          401          610
           781          573          782
           575          367          576
           569          360          361
           569          361          570
           599          390          391
           599          598          390
           611          402          403
           601          393          602
           797          588          589
           568          360          569
           542          334          543
           540          332          541
           829          620          621
           423          215          424
          1001          792          793
           442          233          234
           575          366          367
           575          574          366
           794          586          795
           443          234          235
           555          346          347
           555          554          346
           531          322          323
           531          323          532
           760          551          552
           544          543          335
           546          545          337
           748          540          749
           513          304          305
           513          305          514
           561          352          353
           561          353          562
           977          768          769
           980          772          981
           613          404          405
           613          405          614
           793          792          584
           750          541          542
           540          331          332
           540          539          331
           635          426          427
           426          425          217
           648          647          439
           636          635          427
           487          278          279
           487          486          278
           617          408          409
           617          616          408
           468          259          260
           468          467          259
           601          600          392
           819          610          611
           456          247          248
           456          248          457
           626          419          628
           468          260          469
           488          279          280
           488          487          279
           515          514          306
           764          556          765
           592          384          593
           591          383          592
           812          603          604
           704          703          495
           534          533          325
           725          517          726
           735          526          527
           535          327          536
           693          484          485
           484          276          485
           744          535          536
           739          530          531
           759          551          760
           994          993          785
           731          522          523
           707          498          499
           579          371          580
           578          370          579
           489          488          280
           720          512          721
           470          261          262
           470          469          261
           603          394          395
           603          602          394
           596          387          388
           596          388          597
           758          549          550
           559          351          560
           463          255          464
           686          478          687
           430          429          221
           430          222          431
          1010          802         1011
           454          245          246
           887          679          888
           638          429          430
           591          382          383
           591          590          382
           663          455          664
           654          445          446
           820          611          612
           821          613          822
           478          269          270
           478          270          479
           911          702          703
           857          648          649
           511          302          303
           511          303          512
           883          675          884
           695          486          487
           455          247          456
           686          477          478
           530          321          322
           530          322          531
           557          556          348
           771          562          563
           509          300          301
           509          301          510
           728          520          729
           517          516          308
           775          567          776
           786          785          577
           439          230          231
           439          231          440
           628          419          420
           669          668          460
           426          217          218
           426          218          427
           678          469          470
           603          395          604
           584          375          376
           584          376          585
           452          244          453
           451          242          243
           620          412          621
           630          421          422
           813          604          605
           815          606          607
           588          587          379
           801          593          802
